t,z,y,vz,vy,thrust_z,thrust_y,delta,A,e_R,lf,vy_value,wind_y
26.3,1.1929272747011774,-0.15848467154776316,0.007448697008297049,-0.000934037873028501,12.124793976393269,0.13822796491114964,0.007894551851637208,1.0,-0.0,0.4114,1.0,0.0
26.310000000000002,1.1930002098593837,-0.15849385619535283,0.00729351582062419,-0.000918464758966371,11.753378257479257,0.001868075746057002,4.316098576299899,1.0,-0.0,0.4114,1.0,0.0
26.32,1.1930716255351272,-0.15850288770924417,0.0071415675743611825,-0.0009031513891335084,11.75376621044844,0.001836929517932742,4.2383167649276885,1.0,-0.0,0.4114,1.0,0.0
26.330000000000002,1.1931438052233838,-0.15850139676320354,0.007217968825652594,0.00014909460406185957,11.78116815015497,0.12626886663749878,0.01018315028295396,1.0,-0.0,0.4114,1.0,0.0
26.34,1.1932144811681349,-0.15849993066774554,0.007067594475118159,0.00014660954579948885,11.753955077935869,-0.00029818920812371913,1.3104280106963955,1.0,-0.0,0.4114,1.0,0.0
26.35,1.1932836846973705,-0.1584984890086448,0.00692035292355321,0.00014416591007377123,11.754331013812205,-0.0002932190915989777,1.2876210296354575,1.0,-0.0,0.4114,1.0,0.0
26.36,1.193355364164595,-0.1584986220499594,0.007167946722468556,-1.3304131461028729e-05,11.801711255869842,-0.018896388357128292,0.00916162899776527,1.0,-0.0,0.4114,1.0,0.0
26.37,1.1934255503095859,-0.15849875287390697,0.007018614499083799,-1.3082394756678824e-05,11.75408013319383,2.6608262922057457e-05,0.5660643099073837,1.0,-0.0,0.4114,1.0,0.0
26.38,1.1934942742432226,-0.15849888151744398,0.006872393363686235,-1.2864353703073826e-05,11.754453463752291,2.6164789513357647e-05,0.5605999589428174,1.0,-0.0,0.4114,1.0,0.0
26.39,1.1935328313769393,-0.15849827864003216,0.0038557133716603602,6.0287741182156564e-05,11.409998400956894,0.00877825125383437,0.008972350695984807,1.0,-0.0,0.4114,1.0,0.0
26.400000000000002,1.1935705852370369,-0.15849768581081952,0.0037753860097507713,5.9282921265042374e-05,11.76236071657085,-0.00012057548236431313,3.0669861939363803,1.0,-0.0,0.4114,1.0,0.0
26.41,1.1936075525583822,-0.15849710286232804,0.0036967321345476195,5.829484914752664e-05,11.762561534975623,-0.00011856584253008475,3.013762832191698,1.0,-0.0,0.4114,1.0,0.0
26.42,1.193643478280657,-0.15851007496860833,0.0035925722274768104,-0.0012972106280293653,11.759500811151502,-0.16266065454259546,0.004875912398862245,1.0,-0.0,0.4114,1.0,0.0
26.43,1.1936786555503844,-0.1585228307609336,0.003517726972737715,-0.0012755792325261194,11.763018569431308,0.0025944212560587306,1.4384100522969414,1.0,-0.0,0.4114,1.0,0.0
26.44,1.1937130999603258,-0.15853537384824662,0.003444440994139021,-0.0012543087313014944,11.763205682568156,0.002551158465052239,1.410310591021545,1.0,-0.0,0.4114,1.0,0.0
26.45,1.1937420203847282,-0.15855375049352163,0.0028920424402419788,-0.0018376645275003493,11.705712173532355,-0.07000395417617732,0.005702429611954846,1.0,-0.0,0.4114,1.0,0.0
26.46,1.193770338300289,-0.15857182063624134,0.0028317915560702634,-0.0018070142719692392,11.764769893899395,0.0036753290550006986,1.129169046725664,1.0,-0.0,0.4114,1.0,0.0
26.47,1.1937980662592753,-0.158589589392229,0.002772795898652126,-0.0017768755987658913,11.764920521109824,0.0036140285439384785,1.1097897670434047,1.0,-0.0,0.4114,1.0,0.0
26.48,1.1937937036308106,-0.15862219679773973,-0.0004362628464681796,-0.003260740551073618,11.386912950585563,-0.17806632010644197,0.005332182306199583,1.0,-0.0,0.4114,1.0,0.0
26.490000000000002,1.193789431890439,-0.15865426003766336,-0.0004271740371667588,-0.0032063239923627814,11.773090657116171,0.006521481102147236,4.851783661110365,1.0,-0.0,0.4114,1.0,0.0
26.5,1.1937852491446583,-0.15868578820488735,-0.0004182745780591025,-0.003152816722399775,11.773067935092918,0.006412647984725563,4.7589692801607795,1.0,-0.0,0.4114,1.0,0.0
26.51,1.1937654908152415,-0.15873142183399697,-0.0019758329416756848,-0.004563362910961388,11.58509299636601,-0.16927349483002163,0.0035949081044211757,1.0,-0.0,0.4114,1.0,0.0
26.52,1.1937461441176875,-0.158776293514336,-0.001934669755390762,-0.0044871680339049844,11.77693958235419,0.009126725821922777,3.149235463335986,1.0,-0.0,0.4114,1.0,0.0
26.53,1.1937272004763326,-0.15882041599102428,-0.0018943641354867867,-0.004412247668826805,11.776836674388477,0.008974336067809969,3.090156938053175,1.0,-0.0,0.4114,1.0,0.0
26.54,1.1936907667578749,-0.15885179986758907,-0.003643371845767992,-0.003138387656479698,11.562119074766255,0.15284762713805994,0.006741117758457954,1.0,-0.0,0.4114,1.0,0.0
26.55,1.1936550920752185,-0.15888266002291265,-0.003567468265647823,-0.0030860155323578207,11.78110842961442,0.006276775312959396,3.1091676863592403,1.0,-0.0,0.4114,1.0,0.0
26.560000000000002,1.1936201606151173,-0.15891300520741472,-0.0034931460101134894,-0.003034518450206084,11.78091867066412,0.006172031064715641,3.0515302067962846,1.0,-0.0,0.4114,1.0,0.0
26.57,1.1935765606695266,-0.15895174499094902,-0.004359994559078883,-0.0038739783534289377,11.667978174124153,-0.10074255502852214,0.007489140063418991,1.0,-0.0,0.4114,1.0,0.0
26.580000000000002,1.1935338690561357,-0.15898983811091053,-0.0042691613390980635,-0.003809311996149903,11.782899986397698,0.0077479567068578755,1.9003801279618469,1.0,-0.0,0.4114,1.0,0.0
26.59,1.1934920668513571,-0.1590272953781488,-0.004180220477866856,-0.003745726723828178,11.782672903347745,0.007618623992299806,1.8680280125384954,1.0,-0.0,0.4114,1.0,0.0
26.6,1.193431527492246,-0.1590556346867088,-0.006053935911105841,-0.002833930856000059,11.547154148011321,0.10940427976442259,0.00907448904903822,1.0,-0.0,0.4114,1.0,0.0
26.61,1.1933722493697831,-0.15908350113804853,-0.005927812246291124,-0.0027866451339727477,11.787134839777766,0.005667861712000118,2.922287342019271,1.0,-0.0,0.4114,1.0,0.0
26.62,1.193314206208205,-0.15911090263083985,-0.005804316157826721,-0.0027401492791325173,11.786819530615729,0.0055732902679454955,2.871285619328191,1.0,-0.0,0.4114,1.0,0.0
26.63,1.1932672418518573,-0.15913329196271547,-0.004696435634757956,-0.0022389331875632273,11.904945662768252,0.06013992425385722,0.010217121269580007,1.0,-0.0,0.4114,1.0,0.0
26.64,1.1932212559196003,-0.15915530780487172,-0.004598593225700489,-0.002201584215625051,11.783741089086895,0.004477866375126455,1.5034685359189435,1.0,-0.0,0.4114,1.0,0.0
26.650000000000002,1.1931762280275986,-0.15917695639319382,-0.004502789200165067,-0.0021648588322109104,11.783496483064251,0.004403168431250102,1.4793128888822378,1.0,-0.0,0.4114,1.0,0.0
26.66,1.193144796321599,-0.15921456211309581,-0.0031431705999437317,-0.0037605719901999905,11.93515423202656,-0.19148932824970033,0.007963148404062162,1.0,-0.0,0.4114,1.0,0.0
26.67,1.193114019442808,-0.159251540128206,-0.003077687879111563,-0.0036978015110187006,11.77985792649986,0.007521143980399981,3.0144663864175505,1.0,-0.0,0.4114,1.0,0.0
26.68,1.1930838837489917,-0.15928790093148196,-0.003013569381630072,-0.0036360803275949562,11.77969421969778,0.007395603022037401,2.9577496445600753,1.0,-0.0,0.4114,1.0,0.0
26.69,1.1930569690909174,-0.1593102077560996,-0.0026914658074287897,-0.0022306824617652934,11.810652428904154,0.16863716703544054,0.007447106344432557,1.0,-0.0,0.4114,1.0,0.0
26.7,1.1930306151548864,-0.15933214246857735,-0.0026353936031073585,-0.002193471247774237,11.778728664518573,0.004461364923530587,1.6707618167269473,1.0,-0.0,0.4114,1.0,0.0
