t,z,vz,thrust,delta,A,e_R,lf
17.02,0.312900756234244,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.03,0.3128531427110683,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.04,0.31280552918789256,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.05,0.31275791566471683,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.06,0.3127103021415411,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.07,0.3126626886183654,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.080000000000002,0.31261507509518965,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.09,0.3125674615720139,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.1,0.3125198480488382,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.11,0.3124722345256625,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.12,0.31242462100248675,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.13,0.312377007479311,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.14,0.3123293939561353,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.150000000000002,0.31228178043295957,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.16,0.31223416690978384,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.17,0.3121865533866081,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.18,0.3121389398634324,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.19,0.31209132634025666,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.2,0.31204371281708093,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.21,0.3119960992939052,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.22,0.3119484857707295,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.23,0.31190087224755375,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.240000000000002,0.311853258724378,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.25,0.3118056452012023,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.26,0.31175803167802657,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.27,0.31171041815485084,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.28,0.3116628046316751,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.29,0.3116151911084994,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.3,0.31156757758532366,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.31,0.31151996406214794,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.32,0.3114723505389722,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.330000000000002,0.3114247370157965,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.34,0.31137712349262076,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.35,0.31132950996944503,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.36,0.3112818964462693,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
