patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
46,94957,1500,null_tipos,nematico,4.765,0.054,1,4.037,1,0.803,0.906,3,17
46,94957,1500,null_marco,nematico,4.85,0.047,0,7.971,0,0.962,0.921,2,17
46,94957,1500,null_mediado,nematico,4.918,0.048,1,4.498,1,0.826,0.9,3,17
46,94957,1500,subconjunto,nematico,4.826,0.043,0,7.962,0,1.013,0.917,3,16
47,97021,1500,completo,nematico,4.8,0.051,1,3.225,1,0.772,0.929,4,16
47,97021,1500,null_tipos,nematico,4.821,0.051,1,3.829,1,0.829,0.925,3,16
47,97021,1500,null_marco,nematico,4.891,0.058,0,7.972,0,0.892,0.907,3,17
47,97021,1500,null_mediado,nematico,nan,0.046,1,3.808,1,0.778,0.906,3,17
47,97021,1500,subconjunto,nematico,4.817,0.056,0,7.961,0,0.912,0.913,4,16
49,101149,1500,completo,nematico,4.867,0.05,2,5.555,1,0.836,0.92,4,16
49,101149,1500,null_tipos,nematico,4.86,0.05,1,3.722,1,0.776,0.896,3,17
49,101149,1500,null_marco,nematico,4.948,0.052,0,7.959,0,0.866,0.901,3,17
49,101149,1500,null_mediado,nematico,3.768,0.046,1,4.66,1,0.882,0.909,3,17
49,101149,1500,subconjunto,nematico,5.06,0.048,0,7.979,0,0.965,0.921,3,16
48,99085,1500,completo,nematico,5.074,0.047,1,2.422,1,0.865,0.914,3,17
48,99085,1500,null_tipos,nematico,nan,0.044,1,3.379,1,0.679,0.909,3,17
48,99085,1500,null_marco,nematico,4.759,0.054,0,7.975,0,1.018,0.913,3,17
48,99085,1500,null_mediado,nematico,4.848,0.049,1,3.968,1,0.845,0.918,4,17
48,99085,1500,subconjunto,nematico,4.486,0.053,0,7.953,0,1.023,0.922,4,16
50,103213,1500,completo,nematico,4.612,0.057,2,4.156,1,1.039,0.909,4,17
50,103213,1500,null_tipos,nematico,4.959,0.05,1,3.258,1,0.984,0.909,4,17
50,103213,1500,null_marco,nematico,5.073,0.047,0,7.965,0,1.014,0.91,3,17
50,103213,1500,null_mediado,nematico,4.795,0.056,1,4.225,1,0.945,0.921,4,17
50,103213,1500,subconjunto,nematico,4.991,0.051,0,7.961,0,1.06,0.927,4,16
53,109405,1500,completo,nematico,4.915,0.047,1,4.097,1,0.847,0.905,3,17
53,109405,1500,null_tipos,nematico,4.991,0.045,1,3.542,1,0.877,0.899,3,17
53,109405,1500,null_marco,nematico,5.097,0.036,0,7.96,0,0.905,0.911,3,17
53,109405,1500,null_mediado,nematico,nan,0.044,2,4.838,1,0.903,0.898,3,17
53,109405,1500,subconjunto,nematico,4.636,0.046,0,7.973,0,1.171,0.916,3,16
51,105277,1500,completo,nematico,4.805,0.052,1,4.34,1,0.953,0.907,4,17
51,105277,1500,null_tipos,nematico,4.432,0.051,1,4.623,1,0.94,0.9,3,17
51,105277,1500,null_marco,nematico,4.818,0.056,0,7.962,0,1.027,0.908,4,17
51,105277,1500,null_mediado,nematico,4.009,0.047,1,4.565,1,0.83,0.907,4,17
51,105277,1500,subconjunto,nematico,5.09,0.034,0,7.975,0,1.059,0.892,5,17
52,107341,1500,completo,nematico,nan,0.045,1,3.426,1,0.943,0.915,4,17
52,107341,1500,null_tipos,nematico,nan,0.051,2,4.162,1,0.657,0.913,3,17
52,107341,1500,null_marco,nematico,5.047,0.049,0,7.975,0,1.012,0.917,4,17
52,107341,1500,null_mediado,nematico,4.917,0.047,1,3.615,1,0.909,0.906,3,17
