var_a,var_b,n,spearman,pearson,abs_spearman
tri_ar_p99_sop,pendiente_nativa,252,-0.043483982539381176,-0.03564118953982798,0.043483982539381176
tri_ar_max,n_aristas,254,-0.04313334338260986,-0.02499243239830716,0.04313334338260986
tri_ar_p99_sop,giant,252,0.04178963042037278,0.01876774443977939,0.04178963042037278
tam_medio_comp_tri,grado_medio,252,-0.0373883798615258,0.014549850097786794,0.0373883798615258
frac_mayor_comp_tri,tam_medio_comp_tri,252,-0.03639950946152392,-0.04109274559919769,0.03639950946152392
tri_ar_p99_sop,dist_media_tri,249,-0.034690475441124,-0.049592190757522886,0.034690475441124
tri_ar_max,diam,254,-0.033651802577659214,-0.02772167209177987,0.033651802577659214
tri_ar_max,dist_media_tri,249,0.03271832899638427,0.03649782175348701,0.03271832899638427
frac_aristas_multi_tri,n_aristas,252,-0.028434549939850864,-0.014631179368731512,0.028434549939850864
tri_ar_media_sop,n_aristas,252,-0.028016548505064694,-0.013022993339174924,0.028016548505064694
tri_por_nodo_max,grado_medio,254,-0.017427848673570123,0.05976346296851813,0.017427848673570123
tri_ar_max,pendiente_nativa,254,0.017379933879204456,0.029844458344197456,0.017379933879204456
n_aristas,asortatividad,254,0.015422098430729244,0.10300220913460018,0.015422098430729244
tri_ar_media_sop,giant,252,0.014945531222692631,0.015016082652225603,0.014945531222692631
frac_aristas_multi_tri,giant,252,0.01478968847369261,0.00820261493780645,0.01478968847369261
tri_ar_max,giant,254,-0.013638140943679938,-0.1011834407953735,0.013638140943679938
tri_ar_media_sop,dist_media_tri,249,-0.01146187837505921,-0.05225435499815047,0.01146187837505921
frac_aristas_multi_tri,dist_media_tri,249,-0.01111274572606226,-0.04733698019166252,0.01111274572606226
tri_ar_p99_sop,n_aristas,252,-0.004867770016560206,0.0011627539389768955,0.004867770016560206
tri_ar_media_sop,pendiente_nativa,252,-0.0047844960688935775,-0.03075669695455406,0.0047844960688935775
tri_ar_p99_sop,frac_mayor_comp_tri,252,0.004467002276604511,-0.031077063718177946,0.004467002276604511
frac_aristas_multi_tri,pendiente_nativa,252,-0.0035144017340596437,-0.02173859621743191,0.0035144017340596437
tri_ar_media_sop,tri_ar_mediana_sop,252,,,
tri_ar_mediana_sop,tri_ar_max,252,,,
tri_ar_mediana_sop,tri_ar_p99_sop,252,,,
tri_ar_mediana_sop,tri_ar_media_todas,252,,,
tri_ar_mediana_sop,frac_aristas_en_triangulo,252,,,
tri_ar_mediana_sop,frac_aristas_multi_tri,252,,,
tri_ar_mediana_sop,gini_tri_nodo,252,,,
tri_ar_mediana_sop,tri_por_nodo_max,252,,,
tri_ar_mediana_sop,frac_nodos_en_triangulo,252,,,
tri_ar_mediana_sop,n_triangulos,252,,,
tri_ar_mediana_sop,transitividad,252,,,
tri_ar_mediana_sop,clustering,252,,,
tri_ar_mediana_sop,n_comp_tri,252,,,
tri_ar_mediana_sop,n_comp_tri_arista,252,,,
tri_ar_mediana_sop,frac_mayor_comp_tri,252,,,
tri_ar_mediana_sop,tam_medio_comp_tri,252,,,
tri_ar_mediana_sop,modularidad_tri,252,,,
tri_ar_mediana_sop,dist_media_tri,249,,,
tri_ar_mediana_sop,n_aristas,252,,,
tri_ar_mediana_sop,grado_medio,252,,,
tri_ar_mediana_sop,giant,252,,,
tri_ar_mediana_sop,asortatividad,252,,,
tri_ar_mediana_sop,pendiente_nativa,252,,,
tri_ar_mediana_sop,diam,252,,,
