t,energia_L_baja,energia_L_alta,energia_R_baja,energia_R_alta,gradE_calc
194.0000,0.257017,0.209231,0.223789,0.202288,0.503220
194.5000,0.282363,0.000837,0.279766,0.001220,0.636013
195.0000,0.154648,0.019513,0.169394,0.032276,0.787767
195.5000,0.140245,0.047763,0.140694,0.073442,0.745703
196.0000,0.236487,0.006370,0.231863,0.005974,0.737336
196.5000,0.296570,0.003177,0.312254,0.005004,0.845393
197.0000,0.143213,0.000178,0.142486,0.000565,0.570049
197.5000,0.026072,0.145010,0.019543,0.156005,0.614436
198.0000,0.133099,0.000247,0.131085,0.000318,0.567384
198.5000,0.012968,0.130692,0.011362,0.132268,0.731677
199.0000,0.321144,0.006494,0.347701,0.009198,0.684622
199.5000,0.125224,0.001369,0.125193,0.001793,0.757088
200.0000,0.177052,0.019570,0.175451,0.024164,0.706206
200.5000,0.140353,0.035353,0.141536,0.122208,0.565504
201.0000,0.140666,0.012047,0.146878,0.017677,0.545028
201.5000,0.147239,0.003616,0.137837,0.012582,0.557983
202.0000,0.187485,0.004681,0.154672,0.003804,0.422242
202.5000,0.245783,0.000143,0.281947,0.000181,0.765579
203.0000,0.135326,0.000013,0.135915,0.000022,0.618218
203.5000,0.250070,0.000017,0.216361,0.000015,0.615870
204.0000,0.146694,0.000648,0.147324,0.000682,0.628745
204.5000,0.193629,0.000079,0.198329,0.000191,0.515247
205.0000,0.172299,0.002653,0.160854,0.002705,0.696317
205.5000,0.188243,0.000618,0.189594,0.002089,0.580766
206.0000,0.186360,0.000588,0.183600,0.000632,0.625562
206.5000,0.228072,0.024256,0.230062,0.029687,0.701215
207.0000,0.191436,0.001744,0.188911,0.002551,0.274229
207.5000,0.139305,0.000229,0.137700,0.000196,0.819384
208.0000,0.382426,0.001286,0.327925,0.001231,0.715410
208.5000,0.207592,0.002034,0.214772,0.005816,0.501082
209.0000,0.440521,0.004566,0.352551,0.006318,0.468150
209.5000,0.177650,0.002321,0.175430,0.005977,0.513969
210.0000,0.007660,0.125019,0.007495,0.125032,0.714647
210.5000,0.280267,0.015584,0.252817,0.016683,0.715130
211.0000,0.191854,0.000923,0.189459,0.001912,0.596492
211.5000,0.134371,0.000988,0.134337,0.001449,0.678694
212.0000,0.190692,0.003980,0.220186,0.006479,0.756171
212.5000,0.246494,0.000374,0.200829,0.000380,0.513747
213.0000,0.141690,0.214083,0.105698,0.192251,0.595461
213.5000,0.171955,0.000029,0.156494,0.000055,0.459708
214.0000,0.219408,0.001178,0.229769,0.001561,0.493376
214.5000,0.242806,0.116313,0.225835,0.119865,0.590901
215.0000,0.210167,0.042100,0.251358,0.064806,0.642886
215.5000,0.007059,0.125578,0.009339,0.126252,0.530285
216.0000,0.125893,0.021549,0.125798,0.023111,0.729473
216.5000,0.136961,0.005627,0.138081,0.011944,0.511940
217.0000,0.254076,0.135672,0.259541,0.167065,0.524334
217.5000,0.157316,0.056700,0.156964,0.062666,0.713821
218.0000,0.029011,0.127400,0.027710,0.128245,0.629159
218.5000,0.280736,0.034122,0.286256,0.053519,0.785940
219.0000,0.308283,0.002409,0.262960,0.002497,0.697033
219.5000,0.244390,0.006136,0.290856,0.011037,0.624206
220.0000,0.268976,0.000453,0.260215,0.000546,0.653010
220.5000,0.265189,0.001254,0.253808,0.001571,0.664869
221.0000,0.179034,0.000161,0.176031,0.000206,0.476213
221.5000,0.236554,0.001849,0.204565,0.002186,0.690007
222.0000,0.196638,0.001720,0.189851,0.001692,0.630334
222.5000,0.255344,0.000834,0.265435,0.001005,0.436384
223.0000,0.296035,0.000061,0.271705,0.000063,0.389419
223.5000,0.287323,0.000378,0.285312,0.000461,0.547079
224.0000,0.261966,0.000083,0.334551,0.000153,0.620349
224.5000,0.128133,0.000083,0.128099,0.000129,0.691932
225.0000,0.181890,0.000040,0.181163,0.000055,0.680386
225.5000,0.181115,0.000126,0.179712,0.000154,0.679777
226.0000,0.239982,0.000113,0.239669,0.000122,0.639733
226.5000,0.146192,0.000012,0.144490,0.000015,0.532518
227.0000,0.160356,0.000047,0.191242,0.000142,0.714505
227.5000,0.340033,0.000116,0.354701,0.000142,0.695711
