ciclo,num_estados,delta_struct,var_error,p_reinicio,i_es,i_sm,derivada,contador_colapso
196,197,1,0.0,0.0,2.9416374964251144e-06,0.0012606881666409541,20.378247516874506,0
197,198,1,0.0,0.0,3.6622022542405084e-06,0.0013053400320178282,20.37599282676328,0
198,199,1,0.0,0.0,3.823105492087764e-06,0.0016076095900786427,20.379019224397307,0
199,200,1,0.0,0.0,3.677403694103728e-06,0.001622659105630466,20.38352569157932,0
200,201,1,0.0,0.0,4.087242179863081e-06,0.001728518392794782,20.384133757647707,0
201,202,1,0.0,0.0,3.0339514666794204e-06,0.0014731405560200492,20.38149926686467,0
202,203,1,0.0,0.0,3.020159581431156e-06,0.00120399251352494,20.381212856529906,0
203,204,1,0.0,0.0,3.124824291288061e-06,0.0012019390020594316,20.379297168824582,0
204,205,1,0.0,0.0,3.038967524128747e-06,0.001168301959712193,20.38460781026172,0
205,206,1,0.0,0.0,3.818976316545534e-06,0.0013326421541267476,20.392121659882793,0
206,207,1,0.0,0.0,3.370349860482136e-06,0.0015626709303619651,20.392735798158952,0
207,208,1,0.0,0.0,3.6454227732697573e-06,0.0015168475918241296,20.393284908628136,0
208,209,1,0.0,0.0,3.728650493331068e-06,0.0016647110531121802,20.38846397690328,0
209,210,1,0.0,0.0,3.51078862924955e-06,0.0014486996593086976,20.39676903033317,0
210,211,1,0.0,0.0,3.3537043351965044e-06,0.001322714697282483,20.410368710090605,0
211,212,1,0.0,0.0,3.995867845597267e-06,0.0014616847873121534,20.41842646152058,0
212,213,1,0.0,0.0,3.1208702605799696e-06,0.0014193993113945631,20.430556455591898,0
213,214,1,0.0,0.0,3.820328693576376e-06,0.0014518076762685254,20.436914611549515,0
214,215,1,0.0,0.0,3.1081199613833254e-06,0.0015213948117526839,20.43526076116523,0
215,216,1,0.0,0.0,3.422437356195257e-06,0.001423657485981891,20.43246605381836,0
216,217,1,0.0,0.0,3.5879546274964177e-06,0.0015642585252821613,20.427505404815157,0
217,218,1,0.0,0.0,3.767846949733555e-06,0.0015634183000343808,20.429108307205713,0
218,219,1,0.0,0.0,3.6337216398848e-06,0.0016148962754466843,20.432426890354453,0
219,220,1,0.0,0.0,3.2348894915105045e-06,0.001425243085249203,20.434698324557342,0
220,221,1,0.0,0.0,4.141170147181842e-06,0.0015086654455929724,20.440283052075102,0
221,222,1,0.0,0.0,3.5261089329428737e-06,0.0015819616111064907,20.44150694007718,0
222,223,1,0.0,0.0,3.2185879726967917e-06,0.0013848289645937003,20.4400036224811,0
223,224,1,0.0,0.0,3.121573371421813e-06,0.0013334637277780215,20.444316882355196,0
224,225,1,0.0,0.0,3.418432068224064e-06,0.0012680187011154837,20.450936323354956,0
225,226,1,0.0,0.0,3.879376751454396e-06,0.0014688506317947813,20.453479034888595,0
226,227,1,0.0,0.0,3.5045143244599007e-06,0.0016761847634811772,20.455550943963882,0
227,228,1,0.0,0.0,3.0269877356644796e-06,0.0013006187814250465,20.45862660339398,0
228,229,1,0.0,0.0,3.2517074420344355e-06,0.001335379680957484,20.46062568371522,0
229,230,1,0.0,0.0,3.862691089610497e-06,0.0014582281969219863,20.4629813072821,0
230,231,1,0.0,0.0,3.779032385183562e-06,0.0017214931863151924,20.46043496421419,0
231,232,1,0.0,0.0,3.2469889886127977e-06,0.0016187140397242272,20.458392784532627,0
232,233,1,0.0,0.0,3.458082532687035e-06,0.0013415848708086932,20.454372156655044,0
233,234,1,0.0,0.0,3.1878941184021874e-06,0.0014076975631242058,20.45189164388611,0
234,235,1,0.0,0.0,3.3085613895400754e-06,0.001246144123484042,20.452812583770264,0
235,236,1,0.0,0.0,3.435369188659501e-06,0.0013082050750943088,20.45464721436002,0
236,237,1,0.0,0.0,3.2503829141839886e-06,0.001362113566051076,20.45248516408148,0
237,238,1,0.0,0.0,3.6272317849703663e-06,0.0013859261113044225,20.44657145435163,0
238,239,1,0.0,0.0,3.7978833304085083e-06,0.0016348123608750074,20.445339940433765,0
239,240,1,0.0,0.0,3.2880230823267398e-06,0.0015318786735663615,20.441864306088966,0
